deal_id,account_id,company_name,industry,employee_band,business_model,geography,company_stage,dscr,debt_to_ebitda_ratio,years_in_business,collateral_type,loan_purpose,existing_banking_relationship,credit_rating,outcome,deal_created_date,deal_closed_date,referred_by_portfolio,loan_amount_band,prior_default_flag,referral_source_quality
D011,acc_011,Company_11,Healthcare,51-200,B2B,West,mature,2.07,2.86,28,real_estate,equipment_financing,yes,BBB,won,2023-03-09,2024-10-14,no,1m_5m,no,none
D012,acc_012,Company_12,Technology,51-200,B2B,West,mature,1.96,1.83,27,equipment,working_capital,yes,AA,won,2021-02-11,2022-10-18,no,1m_5m,yes,low
D013,acc_013,Company_13,Technology,500+,B2B,West,mature,1.95,1.43,12,equipment,working_capital,yes,AA,won,2022-11-16,2022-09-05,no,over_20m,no,none
D014,acc_014,Company_14,Healthcare,51-200,B2B,Northeast,mature,1.64,1.18,24,equipment,refinancing,yes,BBB,won,2022-12-02,2024-11-21,no,over_20m,no,low
D015,acc_015,Company_15,Manufacturing,500+,B2B,Northeast,mature,1.64,2.02,15,equipment,equipment_financing,yes,A,won,2022-04-28,2022-08-26,no,under_1m,yes,low
D016,acc_016,Company_16,Manufacturing,201-500,B2B,West,mature,1.62,1.92,17,equipment,working_capital,yes,AA,won,2022-01-13,2023-08-10,no,over_20m,no,low
D017,acc_017,Company_17,Healthcare,51-200,B2B,West,mature,1.66,1.11,34,real_estate,expansion,yes,AAA,won,2021-10-16,2024-09-06,no,under_1m,no,low
D018,acc_018,Company_18,Technology,500+,B2B,West,mature,1.56,2.64,23,real_estate,acquisition,yes,AA,won,2023-10-02,2024-02-14,no,5m_20m,no,low
D019,acc_019,Company_19,Technology,51-200,B2B,Northeast,mature,2.0,1.45,23,real_estate,expansion,yes,BBB,won,2022-02-01,2023-10-19,no,1m_5m,no,low
D020,acc_020,Company_20,Healthcare,51-200,B2B,West,mature,2.12,2.67,22,equipment,equipment_financing,yes,BBB,won,2023-12-10,2024-11-17,no,5m_20m,yes,low
D021,acc_021,Company_21,Healthcare,500+,B2B,Midwest,mature,1.59,1.2,28,real_estate,expansion,yes,A,won,2023-04-23,2023-04-22,no,over_20m,no,low
D022,acc_022,Company_22,Manufacturing,500+,B2B,Southwest,mature,1.95,2.58,12,real_estate,expansion,yes,AA,won,2023-05-06,2024-08-18,no,under_1m,yes,low
D023,acc_023,Company_23,Technology,500+,B2B,Southeast,mature,2.13,2.04,22,real_estate,refinancing,yes,AA,won,2021-05-12,2022-06-07,no,under_1m,no,none
D024,acc_024,Company_24,Healthcare,500+,B2B,Southeast,mature,2.18,2.42,18,real_estate,equipment_financing,yes,BBB,won,2021-03-24,2023-07-26,no,5m_20m,no,none
D025,acc_025,Company_25,Manufacturing,500+,B2B,Southeast,mature,1.77,1.07,26,real_estate,equipment_financing,yes,BBB,won,2022-05-27,2022-04-01,no,over_20m,no,none
D026,acc_026,Company_26,Manufacturing,51-200,B2B,Northeast,mature,2.18,1.53,31,equipment,acquisition,yes,A,won,2021-02-09,2022-10-09,no,over_20m,no,none
D027,acc_027,Company_27,Healthcare,500+,B2B,Southeast,mature,1.81,2.87,14,equipment,acquisition,yes,AA,won,2022-01-23,2023-01-17,no,5m_20m,no,low
D028,acc_028,Company_28,Technology,500+,B2B,Southeast,mature,2.15,2.18,32,real_estate,expansion,yes,A,won,2023-07-11,2023-12-10,no,1m_5m,no,none
D029,acc_029,Company_29,Healthcare,500+,B2B,Midwest,mature,1.98,2.72,30,equipment,refinancing,yes,AAA,won,2022-05-07,2023-10-20,no,over_20m,no,none
D030,acc_030,Company_30,Technology,51-200,B2B,Midwest,mature,1.66,1.9,34,real_estate,working_capital,yes,A,won,2023-11-21,2024-06-03,no,1m_5m,no,low
D031,acc_031,Company_31,Manufacturing,201-500,B2B,Southwest,mature,1.54,2.87,30,real_estate,refinancing,yes,BBB,lost,2023-10-07,2024-12-13,no,1m_5m,no,none
D032,acc_032,Company_32,Technology,51-200,B2B,Northeast,mature,1.51,2.43,35,real_estate,refinancing,yes,AA,lost,2021-12-17,2023-01-18,no,over_20m,no,none
D033,acc_033,Company_33,Technology,201-500,B2B,Southeast,mature,1.88,2.06,21,equipment,acquisition,yes,BBB,lost,2023-08-06,2024-08-15,no,5m_20m,no,none
D034,acc_034,Company_34,Manufacturing,201-500,B2B,Southeast,mature,1.7,1.15,20,real_estate,expansion,yes,A,lost,2022-09-03,2022-03-08,no,1m_5m,yes,none
D035,acc_035,Company_35,Healthcare,51-200,B2B,Midwest,mature,1.74,1.89,12,real_estate,refinancing,yes,BBB,lost,2023-12-01,2024-07-16,no,5m_20m,no,none
D036,acc_036,Company_36,Technology,500+,B2B,Southwest,mature,2.03,2.04,30,real_estate,refinancing,yes,AA,lost,2022-07-16,2022-07-11,no,1m_5m,no,low
D037,acc_037,Company_37,Technology,201-500,B2B,Southeast,mature,1.88,2.72,29,real_estate,working_capital,yes,BBB,lost,2021-08-06,2022-05-13,no,over_20m,no,none
D038,acc_038,Company_38,Healthcare,500+,B2B,Northeast,mature,1.7,2.81,24,equipment,working_capital,yes,BBB,lost,2021-12-18,2022-06-08,no,under_1m,yes,low
D039,acc_039,Company_39,Manufacturing,201-500,B2B,Midwest,growth,1.69,3.55,11,equipment,equipment_financing,yes,BBB,won,2023-02-19,2022-08-23,no,1m_5m,yes,low
D040,acc_040,Company_40,Manufacturing,500+,B2B,Southeast,mature,1.18,2.06,13,equipment,equipment_financing,no,BBB,won,2023-04-03,2024-12-27,no,under_1m,no,none
D041,acc_041,Company_41,Manufacturing,201-500,B2B,Northeast,growth,1.66,3.41,5,equipment,equipment_financing,no,BB,won,2022-11-12,2022-09-21,no,over_20m,no,low
D042,acc_042,Company_42,Manufacturing,500+,B2B,Southwest,mature,1.77,3.59,18,equipment,equipment_financing,yes,BBB,won,2021-12-17,2024-05-20,no,over_20m,no,none
D043,acc_043,Company_43,Manufacturing,201-500,B2B,Northeast,mature,1.33,2.61,6,equipment,equipment_financing,no,BBB,won,2021-08-19,2024-11-13,no,over_20m,no,low
D044,acc_044,Company_44,Manufacturing,51-200,B2B,Southeast,mature,1.25,3.99,14,equipment,equipment_financing,no,BB,won,2023-05-18,2022-09-07,no,over_20m,no,none
D045,acc_045,Company_45,Manufacturing,201-500,B2B,West,growth,1.58,3.61,19,equipment,equipment_financing,no,A,won,2021-05-08,2023-12-08,no,5m_20m,no,none
D046,acc_046,Company_46,Manufacturing,500+,B2B,Southeast,mature,1.4,3.86,14,equipment,equipment_financing,no,BB,won,2022-05-10,2023-04-04,no,5m_20m,yes,none
D047,acc_047,Company_47,Manufacturing,51-200,B2B,West,growth,1.23,3.85,12,equipment,equipment_financing,no,A,won,2021-05-08,2023-03-10,no,1m_5m,no,low
D048,acc_048,Company_48,Manufacturing,201-500,B2B,Southeast,growth,1.49,3.74,8,equipment,equipment_financing,no,A,won,2021-10-10,2023-08-15,no,under_1m,no,none
D049,acc_049,Company_49,Manufacturing,500+,B2B,Southwest,growth,1.68,3.0,6,equipment,equipment_financing,yes,A,won,2021-10-10,2022-04-04,no,1m_5m,no,none
D050,acc_050,Company_50,Manufacturing,51-200,B2B,Southeast,mature,1.31,3.47,17,equipment,equipment_financing,no,BB,won,2023-01-20,2024-02-25,no,5m_20m,yes,low
D051,acc_051,Company_51,Manufacturing,201-500,B2B,Midwest,growth,1.22,2.19,4,equipment,equipment_financing,no,BBB,won,2023-10-16,2023-01-08,no,over_20m,yes,none
D052,acc_052,Company_52,Manufacturing,51-200,B2B,Northeast,growth,1.75,3.97,10,equipment,equipment_financing,no,A,won,2023-04-21,2022-05-27,no,under_1m,no,none
D053,acc_053,Company_53,Manufacturing,51-200,B2B,Southwest,mature,1.41,3.17,13,equipment,equipment_financing,no,BBB,won,2023-09-16,2023-02-20,no,5m_20m,no,low
D054,acc_054,Company_54,Manufacturing,201-500,B2B,Southeast,growth,1.26,3.69,4,equipment,equipment_financing,no,BB,won,2021-03-16,2024-11-15,no,over_20m,no,low
D055,acc_055,Company_55,Manufacturing,500+,B2B,Northeast,mature,1.34,2.83,7,equipment,equipment_financing,yes,BBB,won,2022-12-16,2023-11-13,no,over_20m,yes,none
D056,acc_056,Company_56,Manufacturing,201-500,B2B,West,mature,1.33,4.43,16,equipment,equipment_financing,yes,BB,won,2023-08-14,2022-04-17,no,over_20m,no,low
D057,acc_057,Company_57,Manufacturing,51-200,B2B,Southeast,growth,1.29,2.33,13,equipment,equipment_financing,no,BB,won,2022-02-01,2024-10-26,no,5m_20m,yes,none
D058,acc_058,Company_58,Manufacturing,500+,B2B,Midwest,mature,1.17,4.48,7,equipment,equipment_financing,no,A,won,2023-03-16,2024-05-17,no,over_20m,no,none
D059,acc_059,Company_59,Manufacturing,51-200,B2B,Midwest,growth,1.42,2.36,10,equipment,equipment_financing,yes,A,lost,2022-07-11,2024-05-27,no,5m_20m,no,low
D060,acc_060,Company_60,Manufacturing,201-500,B2B,Northeast,mature,1.48,2.86,16,equipment,equipment_financing,no,BBB,lost,2021-12-08,2024-07-08,no,5m_20m,no,none
D061,acc_061,Company_61,Manufacturing,201-500,B2B,Northeast,mature,1.37,3.66,8,equipment,equipment_financing,no,A,lost,2021-09-19,2023-02-28,no,over_20m,yes,none
D062,acc_062,Company_62,Manufacturing,51-200,B2B,Midwest,growth,1.39,3.64,8,equipment,equipment_financing,yes,BBB,lost,2022-06-20,2024-07-21,no,over_20m,no,none
D063,acc_063,Company_63,Manufacturing,51-200,B2B,Northeast,mature,1.71,2.09,6,equipment,equipment_financing,yes,BB,lost,2023-05-08,2024-02-14,no,over_20m,no,none
D064,acc_064,Company_64,Manufacturing,500+,B2B,Southeast,mature,1.73,2.11,5,equipment,equipment_financing,no,BBB,lost,2022-07-05,2022-09-14,no,1m_5m,no,low
D065,acc_065,Company_65,Manufacturing,201-500,B2B,Midwest,mature,1.53,2.6,8,equipment,equipment_financing,yes,BBB,lost,2023-05-15,2023-11-01,no,1m_5m,yes,none
D066,acc_066,Company_66,Logistics,201-500,B2B,West,mature,1.3,3.91,24,inventory,refinancing,no,AA,won,2022-08-04,2022-07-19,yes,5m_20m,no,high
D067,acc_067,Company_67,Manufacturing,51-200,B2B,West,mature,1.39,1.52,23,real_estate,acquisition,no,A,won,2021-10-26,2023-04-21,yes,5m_20m,no,high
D068,acc_068,Company_68,Healthcare,51-200,B2B,Southeast,mature,1.6,2.27,16,real_estate,acquisition,no,B,won,2021-02-10,2023-12-14,yes,1m_5m,no,high
D069,acc_069,Company_69,Construction,500+,B2B,Southwest,startup,1.27,3.56,17,inventory,expansion,yes,BBB,won,2021-03-25,2022-11-24,yes,5m_20m,yes,high
D070,acc_070,Company_70,Food_Beverage,500+,B2B,West,startup,1.27,1.81,13,inventory,acquisition,no,B,won,2022-02-22,2022-08-01,yes,5m_20m,no,high
D071,acc_071,Company_71,Healthcare,500+,B2B,Southeast,mature,1.75,3.77,11,receivables,working_capital,yes,AAA,won,2021-05-16,2022-02-08,yes,over_20m,no,high
D072,acc_072,Company_72,Logistics,201-500,B2B,Northeast,mature,1.86,3.24,19,receivables,acquisition,yes,BBB,won,2023-02-27,2023-10-14,yes,5m_20m,no,high
D073,acc_073,Company_73,Professional_Services,500+,B2B,Southeast,growth,1.86,3.64,5,inventory,acquisition,no,AAA,won,2022-05-07,2022-08-03,yes,under_1m,yes,high
D074,acc_074,Company_74,Logistics,201-500,B2B,Southeast,startup,1.89,3.47,8,real_estate,acquisition,yes,BB,won,2021-04-11,2022-10-01,yes,1m_5m,no,high
D075,acc_075,Company_75,Retail,500+,B2B,Northeast,startup,1.61,1.56,2,inventory,equipment_financing,no,AAA,won,2021-05-02,2022-12-14,yes,under_1m,no,high
D076,acc_076,Company_76,Professional_Services,51-200,B2B,Southwest,growth,1.49,1.77,18,equipment,acquisition,yes,B,won,2023-09-10,2023-11-01,yes,over_20m,no,high
D077,acc_077,Company_77,Healthcare,500+,B2B,Midwest,growth,1.66,2.61,4,inventory,acquisition,yes,AAA,won,2021-05-20,2024-10-18,yes,over_20m,no,high
D078,acc_078,Company_78,Professional_Services,201-500,B2B,Northeast,mature,1.56,1.75,24,real_estate,acquisition,yes,BBB,won,2022-04-14,2023-08-13,yes,5m_20m,no,high
D079,acc_079,Company_79,Logistics,51-200,B2B,West,mature,1.27,3.88,23,receivables,working_capital,yes,AAA,won,2021-07-04,2024-12-12,yes,under_1m,no,high
D080,acc_080,Company_80,Healthcare,201-500,B2B,Southeast,growth,1.35,3.16,15,real_estate,expansion,no,A,won,2021-10-17,2022-03-22,yes,under_1m,no,high
D081,acc_081,Company_81,Logistics,500+,B2B,Midwest,startup,1.7,2.94,15,unsecured,acquisition,yes,BB,lost,2023-12-09,2022-03-09,yes,5m_20m,no,high
D082,acc_082,Company_82,Manufacturing,201-500,B2B,Southeast,startup,1.79,2.92,14,real_estate,equipment_financing,yes,AAA,lost,2023-09-07,2023-07-15,yes,5m_20m,no,high
D083,acc_083,Company_83,Logistics,500+,B2B,Southwest,mature,1.56,3.71,6,equipment,acquisition,yes,B,lost,2021-05-15,2024-07-16,yes,over_20m,no,high
D084,acc_084,Company_84,Construction,500+,B2B,West,mature,0.67,4.54,10,receivables,refinancing,yes,AAA,lost,2022-05-03,2024-02-20,no,over_20m,no,none
D085,acc_085,Company_85,Manufacturing,51-200,B2B,West,growth,1.78,4.93,7,inventory,acquisition,no,BB,lost,2021-01-15,2022-06-23,no,1m_5m,yes,low
D086,acc_086,Company_86,Professional_Services,201-500,B2B,Northeast,growth,1.28,5.16,12,inventory,expansion,no,BBB,lost,2022-11-20,2022-11-21,no,5m_20m,yes,none
D087,acc_087,Company_87,Food_Beverage,500+,B2B,Southwest,growth,0.93,6.61,30,unsecured,equipment_financing,no,AAA,lost,2023-11-05,2023-05-21,no,1m_5m,yes,none
D088,acc_088,Company_88,Food_Beverage,201-500,B2B,Southwest,mature,1.63,6.38,22,unsecured,working_capital,no,BB,lost,2022-01-12,2023-03-07,no,1m_5m,no,low
D089,acc_089,Company_89,Retail,51-200,B2B,Southeast,startup,0.98,6.23,17,unsecured,acquisition,yes,B,lost,2022-10-05,2024-07-05,no,1m_5m,no,low
D090,acc_090,Company_90,Food_Beverage,500+,B2B,West,growth,1.48,2.93,15,unsecured,expansion,no,AA,lost,2023-04-10,2023-04-12,no,over_20m,no,none
D091,acc_091,Company_91,Food_Beverage,500+,B2B,West,mature,1.29,7.3,27,equipment,acquisition,yes,A,lost,2021-11-16,2023-09-04,no,under_1m,no,low
D092,acc_092,Company_92,Retail,201-500,B2B,Southeast,growth,1.18,4.58,27,receivables,working_capital,yes,BBB,lost,2022-01-14,2022-07-17,no,over_20m,yes,none
D093,acc_093,Company_93,Technology,201-500,B2B,West,startup,1.01,2.09,23,inventory,equipment_financing,yes,AAA,lost,2022-08-23,2022-12-16,no,under_1m,yes,low
D094,acc_094,Company_94,Construction,201-500,B2B,West,startup,1.69,4.79,24,unsecured,acquisition,no,AAA,lost,2022-04-10,2022-01-08,no,over_20m,yes,low
D095,acc_095,Company_95,Professional_Services,51-200,B2B,Northeast,mature,1.3,5.29,19,equipment,equipment_financing,no,BBB,lost,2021-10-12,2022-10-14,no,5m_20m,yes,none
D096,acc_096,Company_96,Manufacturing,51-200,B2B,West,growth,1.74,1.76,13,inventory,expansion,yes,A,lost,2021-06-08,2024-11-21,no,5m_20m,no,low
D097,acc_097,Company_97,Logistics,51-200,B2B,Northeast,mature,1.04,5.36,27,receivables,refinancing,yes,AA,lost,2021-12-25,2023-01-10,no,1m_5m,yes,none
D098,acc_098,Company_98,Construction,51-200,B2B,Midwest,mature,1.12,6.39,16,inventory,working_capital,yes,A,lost,2022-01-28,2024-06-09,no,over_20m,no,none
D099,acc_099,Company_99,Professional_Services,51-200,B2B,West,growth,1.04,2.62,23,receivables,expansion,no,AAA,lost,2023-07-03,2023-10-27,no,5m_20m,no,low
D100,acc_100,Company_100,Healthcare,201-500,B2B,Northeast,growth,1.46,3.34,20,receivables,equipment_financing,no,A,lost,2022-01-24,2023-10-14,no,under_1m,no,none
D101,acc_101,Company_101,Retail,51-200,B2B,West,startup,0.79,5.15,26,receivables,working_capital,yes,AAA,lost,2021-11-12,2023-07-19,no,1m_5m,no,none
D102,acc_102,Company_102,Logistics,201-500,B2B,West,growth,1.59,4.94,17,inventory,refinancing,no,B,lost,2022-04-04,2022-12-06,no,over_20m,yes,none
D103,acc_103,Company_103,Construction,500+,B2B,Midwest,mature,1.18,7.48,10,receivables,equipment_financing,yes,AA,lost,2021-08-06,2024-08-03,no,5m_20m,yes,none
D104,acc_104,Company_104,Construction,500+,B2B,West,growth,1.71,5.77,30,equipment,expansion,yes,AAA,lost,2021-03-08,2023-01-12,no,5m_20m,no,none
D105,acc_105,Company_105,Retail,201-500,B2B,Southwest,mature,1.75,1.89,13,receivables,acquisition,no,BBB,lost,2023-02-05,2023-11-03,no,5m_20m,no,none
D106,acc_106,Company_106,Retail,500+,B2B,Midwest,startup,1.16,6.96,2,real_estate,acquisition,yes,A,lost,2021-03-11,2024-04-12,no,under_1m,no,low
D107,acc_107,Company_107,Construction,500+,B2B,Northeast,startup,1.41,5.19,3,unsecured,equipment_financing,yes,AA,won,2023-10-24,2024-06-27,no,under_1m,yes,low
D108,acc_108,Company_108,Construction,201-500,B2B,Northeast,mature,0.87,4.93,20,real_estate,refinancing,no,B,lost,2022-08-08,2024-07-10,no,under_1m,no,none
D109,acc_109,Company_109,Food_Beverage,51-200,B2B,Southwest,growth,1.2,3.54,5,inventory,expansion,no,BBB,lost,2021-06-17,2024-02-11,no,under_1m,no,none
D110,acc_110,Company_110,Technology,51-200,B2B,Southwest,startup,0.73,3.24,13,unsecured,refinancing,yes,AA,lost,2022-10-24,2023-04-25,no,over_20m,no,none
D111,acc_111,Company_111,Professional_Services,201-500,B2B,Midwest,startup,0.72,3.86,15,equipment,equipment_financing,no,AAA,lost,2021-05-16,2024-11-22,no,under_1m,yes,none
D112,acc_112,Company_112,Retail,201-500,B2B,West,growth,1.55,6.08,12,real_estate,refinancing,yes,BB,lost,2023-04-12,2024-05-03,no,over_20m,no,none
D113,acc_113,Company_113,Healthcare,51-200,B2B,Northeast,startup,1.87,3.86,26,inventory,acquisition,no,AA,lost,2021-10-17,2023-09-02,no,1m_5m,no,none
D114,acc_114,Company_114,Professional_Services,500+,B2B,West,startup,1.39,4.59,11,unsecured,expansion,yes,BBB,lost,2023-12-27,2023-10-11,no,over_20m,no,none
D115,acc_115,Company_115,Manufacturing,500+,B2B,Northeast,growth,1.03,2.16,14,unsecured,expansion,yes,BB,lost,2022-05-21,2024-10-08,no,over_20m,no,none
D116,acc_116,Company_116,Food_Beverage,201-500,B2B,West,startup,1.67,2.95,19,real_estate,equipment_financing,yes,BBB,lost,2022-07-05,2023-12-07,no,over_20m,yes,none
D117,acc_117,Company_117,Retail,500+,B2B,Midwest,mature,0.87,3.45,22,receivables,acquisition,no,A,lost,2021-08-18,2023-09-12,no,over_20m,no,low
D118,acc_118,Company_118,Construction,51-200,B2B,West,mature,0.99,7.15,10,inventory,equipment_financing,no,A,lost,2022-06-18,2024-05-10,no,over_20m,no,none
D119,acc_119,Company_119,Retail,500+,B2B,Midwest,growth,0.65,7.23,3,inventory,refinancing,no,B,lost,2022-04-07,2024-05-18,no,1m_5m,yes,none
D120,acc_120,Company_120,Technology,51-200,B2B,Northeast,startup,0.67,6.93,8,equipment,working_capital,yes,BBB,lost,2022-12-16,2022-11-25,no,1m_5m,no,none
D121,acc_121,Company_121,Professional_Services,51-200,B2B,Southeast,growth,1.45,6.04,10,inventory,expansion,yes,AAA,won,2023-10-08,2024-12-24,no,over_20m,no,low
D122,acc_122,Company_122,Food_Beverage,500+,B2B,West,growth,0.84,5.99,28,inventory,working_capital,yes,A,lost,2023-10-04,2023-05-15,no,over_20m,no,none
D123,acc_123,Company_123,Professional_Services,51-200,B2B,Southeast,growth,0.85,2.18,6,receivables,expansion,yes,AAA,lost,2023-06-26,2023-10-22,no,over_20m,no,none
D124,acc_124,Company_124,Logistics,201-500,B2B,West,startup,1.12,2.07,5,receivables,expansion,yes,AAA,lost,2022-07-08,2023-05-11,no,under_1m,no,none
D125,acc_125,Company_125,Logistics,500+,B2B,Midwest,mature,0.91,5.51,15,inventory,equipment_financing,no,B,lost,2023-12-25,2023-12-04,no,5m_20m,no,low
D126,acc_126,Company_126,Retail,500+,B2B,Northeast,growth,0.8,5.99,20,inventory,refinancing,no,BB,lost,2023-04-25,2022-11-25,no,over_20m,no,low
D127,acc_127,Company_127,Healthcare,500+,B2B,West,startup,1.68,6.92,7,unsecured,acquisition,yes,AA,lost,2022-09-15,2022-11-07,no,over_20m,yes,none
D128,acc_128,Company_128,Professional_Services,51-200,B2B,Southeast,startup,1.19,4.58,15,unsecured,working_capital,no,B,lost,2022-12-01,2023-05-27,no,under_1m,yes,none
D129,acc_129,Company_129,Logistics,500+,B2B,Southwest,mature,0.68,7.46,30,real_estate,refinancing,yes,A,lost,2022-03-25,2022-11-24,no,5m_20m,no,none
D130,acc_130,Company_130,Food_Beverage,51-200,B2B,Northeast,growth,0.7,7.28,28,unsecured,equipment_financing,no,AAA,lost,2021-09-13,2024-03-24,no,under_1m,no,none
D131,acc_131,Company_131,Food_Beverage,51-200,B2B,Southeast,mature,1.09,2.88,15,inventory,equipment_financing,no,AA,lost,2023-02-02,2024-07-20,no,1m_5m,yes,low
D132,acc_132,Company_132,Manufacturing,201-500,B2B,Southeast,growth,1.38,5.72,2,equipment,working_capital,no,BBB,lost,2021-09-07,2022-03-17,no,5m_20m,no,low
D133,acc_133,Company_133,Construction,500+,B2B,Southwest,startup,1.88,4.63,14,inventory,expansion,yes,BB,lost,2023-12-06,2024-11-14,no,under_1m,no,none
D134,acc_134,Company_134,Food_Beverage,500+,B2B,Southeast,mature,1.01,4.0,5,inventory,refinancing,yes,BB,lost,2022-04-28,2022-05-28,no,over_20m,yes,none
D135,acc_135,Company_135,Food_Beverage,500+,B2B,Southeast,growth,1.32,2.3,8,inventory,equipment_financing,no,B,lost,2021-08-28,2023-02-18,no,under_1m,no,none
D136,acc_136,Company_136,Manufacturing,51-200,B2B,Southwest,startup,0.84,6.07,24,unsecured,equipment_financing,no,AA,lost,2022-05-01,2022-04-24,no,1m_5m,no,none
D137,acc_137,Company_137,Technology,500+,B2B,Southwest,mature,1.02,3.2,15,unsecured,expansion,no,A,lost,2022-09-16,2023-02-26,no,5m_20m,no,none
D138,acc_138,Company_138,Logistics,51-200,B2B,Midwest,growth,0.66,6.68,24,equipment,working_capital,no,BB,lost,2023-10-24,2023-05-05,no,1m_5m,no,none
D139,acc_139,Company_139,Technology,500+,B2B,West,growth,1.32,7.16,11,inventory,refinancing,no,BBB,lost,2021-12-26,2023-03-05,no,over_20m,no,none
D140,acc_140,Company_140,Manufacturing,51-200,B2B,West,mature,0.64,6.58,27,real_estate,working_capital,no,AA,lost,2023-04-03,2024-03-01,no,over_20m,no,low
D141,acc_141,Company_141,Professional_Services,500+,B2B,Southwest,mature,1.23,1.54,18,receivables,working_capital,yes,BB,lost,2023-05-18,2023-01-17,no,1m_5m,yes,low
D142,acc_142,Company_142,Retail,51-200,B2B,Midwest,startup,0.85,4.66,27,inventory,expansion,no,AAA,lost,2022-07-15,2024-04-23,no,under_1m,yes,low
D143,acc_143,Company_143,Food_Beverage,51-200,B2B,West,growth,1.09,4.36,21,real_estate,equipment_financing,yes,BBB,lost,2022-11-26,2023-10-28,no,under_1m,no,low
D144,acc_144,Company_144,Professional_Services,500+,B2B,Southwest,growth,0.66,1.95,30,inventory,acquisition,yes,AA,lost,2022-01-07,2024-03-25,no,under_1m,no,low
D145,acc_145,Company_145,Technology,201-500,B2B,Northeast,mature,1.69,3.83,29,unsecured,expansion,no,B,lost,2021-12-24,2022-09-24,no,under_1m,no,low
D146,acc_146,Company_146,Healthcare,201-500,B2B,Southwest,growth,1.39,5.18,20,receivables,expansion,yes,B,won,2022-08-16,2022-06-18,no,1m_5m,no,low
D147,acc_147,Company_147,Construction,201-500,B2B,Midwest,startup,1.53,1.99,5,receivables,equipment_financing,no,A,lost,2022-02-03,2022-05-15,no,under_1m,no,low
D148,acc_148,Company_148,Retail,201-500,B2B,Northeast,growth,1.18,4.83,14,real_estate,working_capital,yes,A,lost,2023-02-20,2024-06-28,no,5m_20m,no,none
D149,acc_149,Company_149,Healthcare,201-500,B2B,Southeast,mature,1.77,6.93,8,unsecured,acquisition,yes,B,lost,2022-03-05,2023-05-09,no,under_1m,no,none
D150,acc_150,Company_150,Construction,51-200,B2B,Southwest,growth,0.99,6.2,12,inventory,equipment_financing,no,BB,lost,2023-04-15,2022-03-10,no,5m_20m,no,none
D151,acc_151,Company_151,Professional_Services,201-500,B2B,Midwest,growth,1.16,6.44,21,unsecured,equipment_financing,no,A,lost,2023-12-07,2023-06-06,no,5m_20m,no,none
D152,acc_152,Company_152,Technology,201-500,B2B,Southeast,growth,1.09,6.4,13,inventory,working_capital,yes,BB,lost,2023-03-22,2024-01-24,no,over_20m,no,none
D153,acc_153,Company_153,Healthcare,500+,B2B,Southwest,growth,1.47,2.34,10,equipment,expansion,yes,B,lost,2022-07-03,2023-10-16,no,over_20m,yes,none
D154,acc_154,Company_154,Healthcare,201-500,B2B,Northeast,startup,1.6,5.45,12,equipment,acquisition,yes,BB,lost,2023-11-21,2023-06-26,no,under_1m,yes,none
D155,acc_155,Company_155,Technology,500+,B2B,Southeast,mature,1.57,4.85,23,unsecured,equipment_financing,no,A,lost,2022-08-25,2024-10-23,no,5m_20m,yes,none
D156,acc_156,Company_156,Healthcare,51-200,B2B,Southwest,growth,1.14,7.27,4,equipment,expansion,no,A,won,2022-04-17,2023-06-16,no,over_20m,no,low
